serialId|bookNum|shortName|name|bookCategory|authorId|publisher|lanId|edition|volume|pages|price|remarks|status
BK74|AFC|AFC|ABC FUN CAPITAL|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK75|AFS|AFS|ABC FUN SMALL|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK237|ALPP1|ALPP1|ACTIVE LEARNING PRE PRIMER SEM. I|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK238|ALPP2|ALPP2|ACTIVE LEARNING PRE PRIMER SEM. II|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK239|ALP1|ALP1|ACTIVE LEARNING PRIMER SEM. I|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK240|ALP2|ALP2|ACTIVE LEARNING PRIMER SEM. II|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK466|SC1|SC1|ACTIVE SCIENCE I|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK467|SC2|SC2|ACTIVE SCIENCE II|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK468|SC3|SC3|ACTIVE SCIENCE III|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK469|SC4|SC4|ACTIVE SCIENCE IV|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK208|ADA|ADA|AKSHARA DEEAPAM A|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 45}|46|1|1|0|0||1
BK196|ADB|ADB|AKSHARADEEPAM B|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK197|AD1|AD1|AKSHARADEEPAM I|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK198|AD2|AD2|AKSHARADEEPAM II|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
